timestamp,pitch_rad,pitch_rate_rad_s,x_m,x_dot_m_s,action
1780133074.9625094,0.34754755022727785,-0.00146628492688431,0.0,0.0,"0.6955,0.8143"
1780133074.9816601,-0.050771597370448465,-0.0014581733989795138,0.0,0.0,"0.6955,0.8143"
1780133075.000736,0.03267729513617995,-0.0026520807454985967,0.0,0.0,"0.6955,0.8143"
1780133075.0198848,-0.12021748788073389,-0.0021146957167642354,0.0,0.0,"0.6955,0.8143"
1780133075.039155,-0.3287776529598462,-0.002036115797648618,0.0,0.0,"0.6955,0.8143"
1780133075.0583508,-0.43914023433240684,-0.0013248410946776652,0.0,0.0,"0.6955,0.8143"
1780133075.085168,0.20961185805686533,-0.0012442333253022304,0.0,0.0,"0.6955,0.8143"
1780133075.1039805,-0.18667226681744636,-0.0033618347034984003,0.0,0.0,"0.6955,0.8143"
1780133075.123235,-1.05904967361314,0.0007932670716433625,0.0,0.0,"0.6955,0.8143"
1780133075.1502788,-0.0041878872196107475,-0.0014074767936038718,0.0,0.0,"0.6974,0.8115"
1780133075.1692593,-0.13467042526069073,-0.0014196438951627794,0.0,0.0,"0.6955,0.8143"
1780133075.188473,-0.02385264394226072,-0.0012356149061943373,0.0,0.0,"0.6955,0.8143"
1780133075.2075744,0.016123671349811877,-0.001295943982673306,0.0,0.0,"0.6955,0.8143"
1780133075.22697,0.03823820897738053,-0.001308111179381357,0.0,0.0,"0.6955,0.8143"
1780133075.246671,-0.00969942906966096,-0.0015017725760203642,0.0,0.0,"0.6955,0.8143"
1780133075.266009,-0.06634392970330139,-0.0011889739299764735,0.0,0.0,"0.9971,-0.9996"
1780133075.2848923,0.027000814606314538,-0.0009218023270914418,0.0,0.0,"0.9999,-1.0000"
1780133075.3036442,0.03601367948545228,-0.0012351079674166683,0.0,0.0,"0.9560,-0.8400"
1780133075.3224132,0.01732530313762433,-0.0011996202548478518,0.0,0.0,"0.6955,0.8143"
1780133075.3412232,0.02083916138483219,-0.0011676813198791933,0.0,0.0,"0.6955,0.8143"
1780133075.3601243,-0.04538044343725306,-0.0013846631689462033,0.0,0.0,"0.6955,0.8143"
1780133075.3790874,-0.0003151927534074672,-0.0010029170986773082,0.0,0.0,"0.6955,0.8143"
1780133075.3978388,0.05195785632187108,-0.0011778206346110453,0.0,0.0,"0.6955,0.8143"
1780133075.4169114,0.05182149746655734,-0.0014125464668279886,0.0,0.0,"0.6955,0.8143"
1780133075.4360263,-0.03772808409978362,-0.0012533587149041736,0.0,0.0,"0.6955,0.8143"
1780133075.455059,-0.036363419972698166,-0.0011808624892917252,0.0,0.0,"0.6955,0.8143"
1780133075.4743776,0.00642744892136396,-0.0014596942628870913,0.0,0.0,"0.6955,0.8143"
1780133075.493493,-0.0024847126231800076,-0.0013572870159985647,0.0,0.0,"0.6955,0.8143"
1780133075.5126228,-0.02963633596155596,-0.0011463886859946271,0.0,0.0,"0.6955,0.8143"
1780133075.5313132,-0.07432018624114534,-0.0011950575045432134,0.0,0.0,"0.6955,0.8143"
1780133075.550442,-0.028657765800742516,-0.0011301657411923681,0.0,0.0,"0.6955,0.8143"
1780133075.5694172,-0.05955112190752021,-0.0010688227475125858,0.0,0.0,"0.6955,0.8143"
1780133075.5886252,-0.009834074285880262,-0.00097706171250583,0.0,0.0,"0.6955,0.8143"
1780133075.6075177,-0.08372174483890184,-0.0009441088702477267,0.0,0.0,"0.6955,0.8143"
1780133075.6266623,-0.11757457717042806,-0.0008660359216261593,0.0,0.0,"0.6955,0.8143"
1780133075.6457028,-0.053208283498617254,-0.0006404356534512557,0.0,0.0,"0.6955,0.8143"
1780133075.664872,-0.013392110645678551,-0.0006257337152802888,0.0,0.0,"0.6955,0.8143"
1780133075.6840804,0.032899989628415574,-0.0005912597851176664,0.0,0.0,"0.6955,0.8143"
1780133075.703007,0.08566094645568174,-0.0005040615579014899,0.0,0.0,"0.6955,0.8143"
1780133075.7223947,0.1557749602830948,-0.0007154667156757622,0.0,0.0,"0.6955,0.8143"
1780133075.7419035,0.14153264050208822,-0.0008746545310323395,0.0,0.0,"0.6955,0.8143"
1780133075.761329,0.07372311681056834,-0.000932448881906584,0.0,0.0,"1.0000,-0.9855"
1780133075.7805703,0.0372752020987861,-0.0009932849605959852,0.0,0.0,"0.9851,0.3816"
1780133075.79996,0.04912068255950133,-0.001052093220741947,0.0,0.0,"0.6955,0.8143"
1780133075.8199925,0.06171715286344276,-0.0010399258020192268,0.0,0.0,"0.9974,-0.0065"
1780133075.8398156,0.019031854838552936,-0.0010642596245404694,0.0,0.0,"0.9719,0.5014"
1780133075.8594368,0.07679914914689512,-0.0010743992247197517,0.0,0.0,"0.6955,0.8143"
1780133075.879001,0.08746213438139902,-0.00113624921268087,0.0,0.0,"0.9627,0.5497"
