rank,kp,ki,kd,mean_steps,std_steps,mean_reward,std_reward,survival_rate
159,80.0,2.0,4.0,41.55,2.801338965566288,-62.33142755499686,2.886261680763738,0.0
160,60.0,2.0,8.0,41.2,3.7094473981982814,-62.8240633671267,3.8154569775108382,0.0
161,50.0,1.0,8.0,41.15,2.779838124783528,-62.877614226374796,2.9311085249571307,0.0
162,50.0,4.0,8.0,41.05,3.0573681492420897,-62.79340235846784,3.354445176323675,0.0
163,60.0,0.5,8.0,40.75,2.843853020111975,-63.10496431816354,3.1879098893392097,0.0
164,50.0,0.0,8.0,40.75,2.0706279240848655,-63.36663260653253,2.203973532520345,0.0
165,80.0,2.0,8.0,40.7,3.7696153649941526,-63.37823920499507,4.21140480129042,0.0
166,50.0,2.0,8.0,40.4,2.835489375751565,-63.33776203365337,3.1785736324188547,0.0
167,80.0,0.0,8.0,40.4,3.277193921634788,-63.8021709286509,3.2994740232514395,0.0
168,100.0,1.0,8.0,40.2,3.1240998703626612,-64.13661514202138,3.340381801211717,0.0
169,80.0,1.0,8.0,40.1,3.345145736735546,-64.10784773250947,3.4349807909179266,0.0
170,80.0,4.0,8.0,39.85,2.5937424698685874,-64.33218166548396,2.7481589665374946,0.0
171,100.0,0.0,8.0,39.3,3.551056180912941,-65.25448991938285,3.8677997193067557,0.0
172,80.0,0.5,8.0,39.1,2.142428528562855,-65.30638454321738,2.2580717232268506,0.0
173,100.0,0.5,8.0,38.9,2.4269322199023198,-65.5565018625153,2.4532325818629093,0.0
174,100.0,4.0,8.0,38.7,2.685144316419511,-65.80066796351313,2.8277699042691733,0.0
175,100.0,2.0,8.0,38.35,2.7977669667075564,-66.15476250052203,2.7825827175476543,0.0
