t_unix,t_rel_s,enc_m1,enc_m2,slot0_bus1_ax,slot0_bus1_ay,slot0_bus1_az,slot0_bus1_gx,slot0_bus1_gy,slot0_bus1_gz,slot1_bus1_ax,slot1_bus1_ay,slot1_bus1_az,slot1_bus1_gx,slot1_bus1_gy,slot1_bus1_gz
1780408875.296169,2.521765,-53,82,-71,-211,-16622,-36,-7,57,-71,-211,-16622,-36,-7,57
1780408875.315317,2.540912,-53,82,-84,-218,-16547,-35,4,45,-84,-218,-16547,-35,4,45
1780408875.334462,2.560057,-53,82,-25,-238,-16543,-24,-13,37,-25,-238,-16543,-24,-13,37
1780408875.353527,2.579123,-53,82,-68,-252,-16547,-41,5,52,-68,-252,-16547,-41,5,52
1780408875.372685,2.598281,-53,82,-54,-251,-16570,-42,-5,31,-54,-251,-16570,-42,-5,31
1780408875.391706,2.617302,-53,82,-41,-228,-16531,-42,-5,38,-41,-228,-16531,-42,-5,38
1780408875.410791,2.636387,-53,82,-57,-231,-16524,-25,10,40,-57,-231,-16524,-25,10,40
1780408875.430072,2.655667,-53,82,-41,-207,-16537,-29,-5,28,-41,-207,-16537,-29,-5,28
1780408875.449152,2.674748,-53,82,-70,-220,-16578,-49,6,28,-70,-220,-16578,-49,6,28
1780408875.468192,2.693788,-53,82,-24,-193,-16558,-40,2,33,-24,-193,-16558,-40,2,33
1780408875.487184,2.712780,-53,82,-43,-212,-16545,-64,-4,32,-43,-212,-16545,-64,-4,32
1780408875.506222,2.731817,-53,82,-71,-231,-16536,-27,14,15,-71,-231,-16536,-27,14,15
1780408875.525244,2.750840,-53,82,-65,-277,-16557,-46,0,28,-65,-277,-16557,-46,0,28
1780408875.544372,2.769968,-53,82,-66,-239,-16574,-45,-17,34,-66,-239,-16574,-45,-17,34
1780408875.563408,2.789004,-53,82,-36,-260,-16568,-33,-4,47,-36,-260,-16568,-33,-4,47
1780408875.582439,2.808035,-53,82,-96,-191,-16557,-37,-10,63,-96,-191,-16557,-37,-10,63
1780408875.601422,2.827017,-53,82,-74,-216,-16494,-27,-3,43,-74,-216,-16494,-27,-3,43
1780408875.620461,2.846057,-53,82,-62,-234,-16507,-39,14,39,-62,-234,-16507,-39,14,39
1780408875.639513,2.865108,-53,82,-40,-227,-16535,-36,-7,20,-40,-227,-16535,-36,-7,20
1780408875.658504,2.884100,-53,82,-66,-205,-16529,-48,-1,30,-66,-205,-16529,-48,-1,30
1780408875.677494,2.903089,-53,82,-24,-235,-16546,-22,-5,24,-24,-235,-16546,-22,-5,24
1780408875.696502,2.922097,-53,82,17,-213,-16550,-29,-6,28,17,-213,-16550,-29,-6,28
1780408875.715510,2.941106,-53,82,-37,-246,-16519,-33,-3,26,-37,-246,-16519,-33,-3,26
1780408875.734544,2.960140,-53,82,-40,-253,-16564,-53,-23,43,-40,-253,-16564,-53,-23,43
1780408875.753540,2.979136,-53,82,-66,-206,-16542,-38,-3,44,-66,-206,-16542,-38,-3,44
1780408875.772576,2.998172,-53,82,-47,-198,-16519,-25,-17,42,-47,-198,-16519,-25,-17,42
1780408875.791559,3.017154,-53,82,-22,-279,-16606,-13,1,44,-22,-279,-16606,-13,1,44
1780408875.810342,3.035937,-53,82,-73,-271,-16510,-37,-10,45,-73,-271,-16510,-37,-10,45
1780408875.829340,3.054936,-53,82,-64,-189,-16555,-32,-6,47,-64,-189,-16555,-32,-6,47
1780408875.848376,3.073972,-53,82,-76,-237,-16569,-49,2,39,-76,-237,-16569,-49,2,39
1780408875.867371,3.092967,-53,82,-76,-214,-16581,-45,-15,28,-76,-214,-16581,-45,-15,28
1780408875.886351,3.111947,-53,82,-103,-217,-16581,-42,-12,22,-103,-217,-16581,-42,-12,22
1780408875.905347,3.130943,-53,82,-43,-237,-16576,-28,-4,38,-43,-237,-16576,-28,-4,38
1780408875.924392,3.149988,-53,82,-79,-228,-16546,-38,0,24,-79,-228,-16546,-38,0,24
1780408875.943397,3.168992,-53,82,-73,-283,-16553,-45,1,34,-73,-283,-16553,-45,1,34
1780408875.962388,3.187984,-53,82,-19,-211,-16532,-44,-2,50,-19,-211,-16532,-44,-2,50
1780408875.981394,3.206990,-53,82,-33,-251,-16539,-55,-8,34,-33,-251,-16539,-55,-8,34
1780408876.000410,3.226006,-53,82,-108,-275,-16600,-35,0,24,-108,-275,-16600,-35,0,24
1780408876.019421,3.245017,-53,82,-66,-232,-16552,-38,7,38,-66,-232,-16552,-38,7,38
1780408876.038446,3.264042,-53,82,-62,-199,-16532,-31,-1,35,-62,-199,-16532,-31,-1,35
1780408876.057447,3.283042,-53,82,14,-249,-16501,-46,-10,35,14,-249,-16501,-46,-10,35
1780408876.076288,3.301884,-53,82,-37,-216,-16515,-36,-5,45,-37,-216,-16515,-36,-5,45
1780408876.095274,3.320870,-53,82,-73,-235,-16538,-41,-18,32,-73,-235,-16538,-41,-18,32
1780408876.114243,3.339838,-53,82,-119,-213,-16513,-48,-7,35,-119,-213,-16513,-48,-7,35
1780408876.133245,3.358841,-53,82,-88,-228,-16541,-49,2,47,-88,-228,-16541,-49,2,47
1780408876.152444,3.378039,-53,82,-88,-220,-16557,-41,0,38,-88,-220,-16557,-41,0,38
1780408876.171299,3.396895,-53,82,-21,-232,-16571,-44,-4,40,-21,-232,-16571,-44,-4,40
1780408876.189473,3.415068,-53,82,-23,-213,-16580,-32,-10,28,-23,-213,-16580,-32,-10,28
1780408876.207587,3.433183,-53,82,-51,-215,-16574,-33,-1,24,-51,-215,-16574,-33,-1,24
1780408876.225768,3.451364,-53,82,-87,-212,-16495,-39,-5,56,-87,-212,-16495,-39,-5,56
1780408876.243949,3.469544,-53,82,-74,-218,-16536,-27,-4,35,-74,-218,-16536,-27,-4,35
1780408876.262075,3.487670,-53,82,-50,-264,-16585,-47,24,35,-50,-264,-16585,-47,24,35
1780408876.281235,3.506831,-53,82,-36,-223,-16556,-40,-20,23,-36,-223,-16556,-40,-20,23
1780408876.300449,3.526045,-53,82,-30,-251,-16509,-39,-6,40,-30,-251,-16509,-39,-6,40
1780408876.319569,3.545165,-53,82,-75,-245,-16531,-28,1,24,-75,-245,-16531,-28,1,24
1780408876.338647,3.564243,-53,82,-80,-254,-16539,-33,-6,39,-80,-254,-16539,-33,-6,39
1780408876.357725,3.583321,-53,82,-57,-223,-16531,-37,-3,26,-57,-223,-16531,-37,-3,26
1780408876.376115,3.601711,-53,82,-119,-241,-16518,-23,-9,46,-119,-241,-16518,-23,-9,46
1780408876.394226,3.619822,-53,82,-11,-258,-16543,-47,-10,29,-11,-258,-16543,-47,-10,29
1780408876.412287,3.637883,-53,82,-23,-235,-16504,-34,-6,38,-23,-235,-16504,-34,-6,38
1780408876.430392,3.655988,-53,82,-66,-193,-16534,-41,-10,41,-66,-193,-16534,-41,-10,41
1780408876.448513,3.674109,-53,82,-71,-246,-16599,-60,-10,29,-71,-246,-16599,-60,-10,29
1780408876.466579,3.692175,-53,82,-80,-206,-16487,-32,-12,26,-80,-206,-16487,-32,-12,26
1780408876.485468,3.711064,-53,82,-42,-239,-16552,-12,-3,40,-42,-239,-16552,-12,-3,40
1780408876.504493,3.730088,-53,82,-70,-234,-16532,-36,-9,28,-70,-234,-16532,-36,-9,28
1780408876.523510,3.749105,-53,82,-13,-221,-16568,-46,-6,31,-13,-221,-16568,-46,-6,31
1780408876.542564,3.768160,-53,82,-101,-232,-16560,-49,-10,38,-101,-232,-16560,-49,-10,38
1780408876.561561,3.787157,-53,82,-55,-216,-16572,-26,-8,41,-55,-216,-16572,-26,-8,41
1780408876.580595,3.806190,-53,82,-20,-221,-16538,-44,3,32,-20,-221,-16538,-44,3,32
1780408876.599599,3.825195,-53,82,-64,-253,-16547,-43,-6,46,-64,-253,-16547,-43,-6,46
1780408876.618616,3.844211,-53,82,-26,-237,-16499,-52,-9,39,-26,-237,-16499,-52,-9,39
1780408876.637649,3.863245,-53,82,-33,-212,-16550,-38,3,45,-33,-212,-16550,-38,3,45
1780408876.656677,3.882273,-53,82,-70,-193,-16526,-51,2,28,-70,-193,-16526,-51,2,28
1780408876.675646,3.901242,-53,82,-17,-234,-16528,-41,11,35,-17,-234,-16528,-41,11,35
1780408876.694631,3.920227,-53,82,-52,-223,-16520,-29,0,14,-52,-223,-16520,-29,0,14
1780408876.713604,3.939200,-53,82,-38,-263,-16526,-38,-11,33,-38,-263,-16526,-38,-11,33
1780408876.732680,3.958276,-53,82,-69,-245,-16566,-42,-13,53,-69,-245,-16566,-42,-13,53
1780408876.751685,3.977281,-53,82,-74,-216,-16609,-43,-9,43,-74,-216,-16609,-43,-9,43
1780408876.770673,3.996268,-53,82,-110,-236,-16552,-33,-5,59,-110,-236,-16552,-33,-5,59
1780408876.789657,4.015253,-53,82,-62,-237,-16485,-42,-11,37,-62,-237,-16485,-42,-11,37
1780408876.808660,4.034256,-53,82,-83,-189,-16575,-49,3,37,-83,-189,-16575,-49,3,37
1780408876.827659,4.053255,-53,82,-16,-197,-16544,-29,-3,43,-16,-197,-16544,-29,-3,43
1780408876.846675,4.072271,-53,82,-20,-223,-16552,-53,-9,40,-20,-223,-16552,-53,-9,40
1780408876.865465,4.091061,-53,82,-56,-174,-16546,-35,-6,41,-56,-174,-16546,-35,-6,41
1780408876.884453,4.110049,-53,82,-43,-220,-16603,-41,-4,44,-43,-220,-16603,-41,-4,44
1780408876.903420,4.129016,-53,82,-34,-245,-16530,-49,-1,44,-34,-245,-16530,-49,-1,44
1780408876.922402,4.147998,-53,82,-30,-234,-16586,-33,-5,38,-30,-234,-16586,-33,-5,38
1780408876.941423,4.167019,-53,82,-55,-212,-16518,-39,4,41,-55,-212,-16518,-39,4,41
1780408876.960455,4.186050,-53,82,-71,-296,-16516,-41,2,31,-71,-296,-16516,-41,2,31
1780408876.979443,4.205039,-53,82,-100,-185,-16541,-3,-16,37,-100,-185,-16541,-3,-16,37
1780408876.998420,4.224015,-53,82,-28,-228,-16527,-33,5,38,-28,-228,-16527,-33,5,38
1780408877.017383,4.242978,-53,82,-22,-207,-16539,-37,1,31,-22,-207,-16539,-37,1,31
